SCOPE	ENTREZ	HUGO	GENENAME	ENSEMBL	HGNC	CHR	MAPLOC	DESCRIPTION	GENETYPE	GSC1	GSC2	HUGO_ENSG	SCOPE_ENSG
DUS3L	56931	DUS3L	DUS3L	ENSG00000141994	26920	19	19p13.3	dihydrouridine synthase 3 like	protein-coding	DUS3L|56931_calculated	merged_DUS3L|56931_calculated	DUS3L_ENSG00000141994	DUS3L_ENSG00000141994
DUS4L	11062	DUS4L	DUS4L	ENSG00000105865	21517	7	7q22.3	dihydrouridine synthase 4 like	protein-coding	DUS4L|11062_calculated	merged_DUS4L|11062_calculated	DUS4L_ENSG00000105865	DUS4L_ENSG00000105865
DUSP1	1843	DUSP1	DUSP1	ENSG00000120129	3064	5	5q35.1	dual specificity phosphatase 1	protein-coding	DUSP1|1843_calculated	merged_DUSP1|1843_calculated	DUSP1_ENSG00000120129	DUSP1_ENSG00000120129
DUSP10	11221	DUSP10	DUSP10	ENSG00000143507	3065	1	1q41	dual specificity phosphatase 10	protein-coding	DUSP10|11221_calculated	merged_DUSP10|11221_calculated	DUSP10_ENSG00000143507	DUSP10_ENSG00000143507
DUSP11	8446	DUSP11	DUSP11	ENSG00000144048	3066	2	2p13.1	dual specificity phosphatase 11	protein-coding	DUSP11|8446_calculated	merged_DUSP11|8446_calculated	DUSP11_ENSG00000144048	DUSP11_ENSG00000144048
DUSP12	11266	DUSP12	DUSP12	ENSG00000081721	3067	1	1q23.3	dual specificity phosphatase 12	protein-coding	DUSP12|11266_calculated	merged_DUSP12|11266_calculated	DUSP12_ENSG00000081721	DUSP12_ENSG00000081721
DUSP13	51207	DUSP13	DUSP13	ENSG00000079393	19681	10	10q22.2	dual specificity phosphatase 13	protein-coding	DUSP13|51207_calculated	merged_DUSP13|51207_calculated	DUSP13_ENSG00000079393	DUSP13_ENSG00000079393
DUSP15	128853	DUSP15	DUSP15	ENSG00000149599	16236	20	20q11.21	dual specificity phosphatase 15	protein-coding	DUSP15|128853_calculated	merged_DUSP15|128853_calculated	DUSP15_ENSG00000149599	DUSP15_ENSG00000149599
DUSP16	80824	DUSP16	DUSP16	ENSG00000111266	17909	12	12p13.2	dual specificity phosphatase 16	protein-coding	DUSP16|80824_calculated	merged_DUSP16|80824_calculated	DUSP16_ENSG00000111266	DUSP16_ENSG00000111266
DUSP18	150290	DUSP18	DUSP18	ENSG00000167065	18484	22	22q12.2	dual specificity phosphatase 18	protein-coding	DUSP18|150290_calculated	merged_DUSP18|150290_calculated	DUSP18_ENSG00000167065	DUSP18_ENSG00000167065
DUSP19	142679	DUSP19	DUSP19	ENSG00000162999	18894	2	2q32.1	dual specificity phosphatase 19	protein-coding	DUSP19|142679_calculated	merged_DUSP19|142679_calculated	DUSP19_ENSG00000162999	DUSP19_ENSG00000162999
DUSP2	1844	DUSP2	DUSP2	ENSG00000158050	3068	2	2q11.2	dual specificity phosphatase 2	protein-coding	DUSP2|1844_calculated	merged_DUSP2|1844_calculated	DUSP2_ENSG00000158050	DUSP2_ENSG00000158050
DUSP21	63904	DUSP21	DUSP21	ENSG00000189037	20476	X	Xp11.3	dual specificity phosphatase 21	protein-coding	DUSP21|63904_calculated	merged_DUSP21|63904_calculated	DUSP21_ENSG00000189037	DUSP21_ENSG00000189037
DUSP22	56940	DUSP22	DUSP22	ENSG00000112679	16077	6	6p25.3	dual specificity phosphatase 22	protein-coding	DUSP22|56940_calculated	merged_DUSP22|56940_calculated	DUSP22_ENSG00000112679	DUSP22_ENSG00000112679
DUSP23	54935	DUSP23	DUSP23	ENSG00000158716	21480	1	1q23.2	dual specificity phosphatase 23	protein-coding	DUSP23|54935_calculated	merged_DUSP23|54935_calculated	DUSP23_ENSG00000158716	DUSP23_ENSG00000158716
DUSP26	78986	DUSP26	DUSP26	ENSG00000133878	28161	8	8p12	dual specificity phosphatase 26	protein-coding	DUSP26|78986_calculated	merged_DUSP26|78986_calculated	DUSP26_ENSG00000133878	DUSP26_ENSG00000133878
DUSP27	92235	DUSP27	DUSP27	ENSG00000198842	25034	1	1q24.1	"dual specificity phosphatase 27, atypical"	protein-coding	DUSP27|92235_calculated	merged_DUSP27|92235_calculated	DUSP27_ENSG00000198842	DUSP27_ENSG00000198842
DUSP28	285193	DUSP28	DUSP28	ENSG00000188542	33237	2	2q37.3	dual specificity phosphatase 28	protein-coding	DUSP28|285193_calculated	merged_DUSP28|285193_calculated	DUSP28_ENSG00000188542	DUSP28_ENSG00000188542
DUSP3	1845	DUSP3	DUSP3	ENSG00000108861	3069	17	17q21.31	dual specificity phosphatase 3	protein-coding	DUSP3|1845_calculated	merged_DUSP3|1845_calculated	DUSP3_ENSG00000108861	DUSP3_ENSG00000108861
DUSP4	1846	DUSP4	DUSP4	ENSG00000120875	3070	8	8p12	dual specificity phosphatase 4	protein-coding	DUSP4|1846_calculated	merged_DUSP4|1846_calculated	DUSP4_ENSG00000120875	DUSP4_ENSG00000120875
DUSP5	1847	DUSP5	DUSP5	ENSG00000138166	3071	10	10q25.2	dual specificity phosphatase 5	protein-coding	DUSP5|1847_calculated	merged_DUSP5|1847_calculated	DUSP5_ENSG00000138166	DUSP5_ENSG00000138166
DUSP6	1848	DUSP6	DUSP6	ENSG00000139318	3072	12	12q21.33	dual specificity phosphatase 6	protein-coding	DUSP6|1848_calculated	merged_DUSP6|1848_calculated	DUSP6_ENSG00000139318	DUSP6_ENSG00000139318
DUSP7	1849	DUSP7	DUSP7	ENSG00000164086	3073	3	3p21.2	dual specificity phosphatase 7	protein-coding	DUSP7|1849_calculated	merged_DUSP7|1849_calculated	DUSP7_ENSG00000164086	DUSP7_ENSG00000164086
DUSP8	1850	DUSP8	DUSP8	ENSG00000184545	3074	11	11p15.5	dual specificity phosphatase 8	protein-coding	DUSP8|1850_calculated	merged_DUSP8|1850_calculated	DUSP8_ENSG00000184545	DUSP8_ENSG00000184545
DUSP9	1852	DUSP9	DUSP9	ENSG00000130829	3076	X	Xq28	dual specificity phosphatase 9	protein-coding	DUSP9|1852_calculated	merged_DUSP9|1852_calculated	DUSP9_ENSG00000130829	DUSP9_ENSG00000130829
DUT	1854	DUT	DUT	ENSG00000128951	3078	15	15q21.1	deoxyuridine triphosphatase	protein-coding	DUT|1854_calculated	merged_DUT|1854_calculated	DUT_ENSG00000128951	DUT_ENSG00000128951
DVL1	1855	DVL1	DVL1	ENSG00000107404	3084	1	1p36.33	dishevelled segment polarity protein 1	protein-coding	DVL1|1855_calculated	merged_DVL1|1855_calculated	DVL1_ENSG00000107404	DVL1_ENSG00000107404
DVL2	1856	DVL2	DVL2	ENSG00000004975	3086	17	17p13.1	dishevelled segment polarity protein 2	protein-coding	DVL2|1856_calculated	merged_DVL2|1856_calculated	DVL2_ENSG00000004975	DVL2_ENSG00000004975
DVL3	1857	DVL3	DVL3	ENSG00000161202	3087	3	3q27.1	dishevelled segment polarity protein 3	protein-coding	DVL3|1857_calculated	merged_DVL3|1857_calculated	DVL3_ENSG00000161202	DVL3_ENSG00000161202
DYDC1	143241	DYDC1	DYDC1	ENSG00000170788	23460	10	10q23.1	DPY30 domain containing 1	protein-coding	DYDC1|143241_calculated	merged_DYDC1|143241_calculated	DYDC1_ENSG00000170788	DYDC1_ENSG00000170788
DYDC2	84332	DYDC2	DYDC2	ENSG00000133665	23468	10	10q23.1	DPY30 domain containing 2	protein-coding	DYDC2|84332_calculated	merged_DYDC2|84332_calculated	DYDC2_ENSG00000133665	DYDC2_ENSG00000133665
DYM	54808	DYM	DYM	ENSG00000141627	21317	18	18q21.1	dymeclin	protein-coding	DYM|54808_calculated	merged_DYM|54808_calculated	DYM_ENSG00000141627	DYM_ENSG00000141627
DYNC1H1	1778	DYNC1H1	DYNC1H1	ENSG00000197102	2961	14	14q32.31	dynein cytoplasmic 1 heavy chain 1	protein-coding	DYNC1H1|1778_calculated	merged_DYNC1H1|1778_calculated	DYNC1H1_ENSG00000197102	DYNC1H1_ENSG00000197102
DYNC1I1	1780	DYNC1I1	DYNC1I1	ENSG00000158560	2963	7	7q21.3	dynein cytoplasmic 1 intermediate chain 1	protein-coding	DYNC1I1|1780_calculated	merged_DYNC1I1|1780_calculated	DYNC1I1_ENSG00000158560	DYNC1I1_ENSG00000158560
DYNC1I2	1781	DYNC1I2	DYNC1I2	ENSG00000077380	2964	2	2q31.1	dynein cytoplasmic 1 intermediate chain 2	protein-coding	DYNC1I2|1781_calculated	merged_DYNC1I2|1781_calculated	DYNC1I2_ENSG00000077380	DYNC1I2_ENSG00000077380
DYNC1LI1	51143	DYNC1LI1	DYNC1LI1	ENSG00000144635	18745	3	3p22.3	dynein cytoplasmic 1 light intermediate chain 1	protein-coding	DYNC1LI1|51143_calculated	merged_DYNC1LI1|51143_calculated	DYNC1LI1_ENSG00000144635	DYNC1LI1_ENSG00000144635
DYNC1LI2	1783	DYNC1LI2	DYNC1LI2	ENSG00000135720	2966	16	16q22.1	dynein cytoplasmic 1 light intermediate chain 2	protein-coding	DYNC1LI2|1783_calculated	merged_DYNC1LI2|1783_calculated	DYNC1LI2_ENSG00000135720	DYNC1LI2_ENSG00000135720
DYNC2H1	79659	DYNC2H1	DYNC2H1	ENSG00000187240	2962	11	11q22.3	dynein cytoplasmic 2 heavy chain 1	protein-coding	DYNC2H1|79659_calculated	merged_DYNC2H1|79659_calculated	DYNC2H1_ENSG00000187240	DYNC2H1_ENSG00000187240
DYNC2LI1	51626	DYNC2LI1	DYNC2LI1	ENSG00000138036	24595	2	2p21	dynein cytoplasmic 2 light intermediate chain 1	protein-coding	DYNC2LI1|51626_calculated	merged_DYNC2LI1|51626_calculated	DYNC2LI1_ENSG00000138036	DYNC2LI1_ENSG00000138036
DYNLL1	8655	DYNLL1	DYNLL1	ENSG00000088986	15476	12	12q24.31	dynein light chain LC8-type 1	protein-coding	DYNLL1|8655_calculated	merged_DYNLL1|8655_calculated	DYNLL1_ENSG00000088986	DYNLL1_ENSG00000088986
DYNLRB1	83658	DYNLRB1	DYNLRB1	ENSG00000125971	15468	20	20q11.22	dynein light chain roadblock-type 1	protein-coding	DYNLRB1|83658_calculated	merged_DYNLRB1|83658_calculated	DYNLRB1_ENSG00000125971	DYNLRB1_ENSG00000125971
DYNLRB2	83657	DYNLRB2	DYNLRB2	ENSG00000168589	15467	16	16q23.2	dynein light chain roadblock-type 2	protein-coding	DYNLRB2|83657_calculated	merged_DYNLRB2|83657_calculated	DYNLRB2_ENSG00000168589	DYNLRB2_ENSG00000168589
DYNLT1	6993	DYNLT1	DYNLT1	ENSG00000146425	11697	6	6q25.3	dynein light chain Tctex-type 1	protein-coding	DYNLT1|6993_calculated	merged_DYNLT1|6993_calculated	DYNLT1_ENSG00000146425	DYNLT1_ENSG00000146425
DYNLT3	6990	DYNLT3	DYNLT3	ENSG00000165169	11694	X	Xp11.4	dynein light chain Tctex-type 3	protein-coding	DYNLT3|6990_calculated	merged_DYNLT3|6990_calculated	DYNLT3_ENSG00000165169	DYNLT3_ENSG00000165169
DYRK1A	1859	DYRK1A	DYRK1A	ENSG00000157540	3091	21	21q22.13	dual specificity tyrosine phosphorylation regulated kinase 1A	protein-coding	DYRK1A|1859_calculated	merged_DYRK1A|1859_calculated	DYRK1A_ENSG00000157540	DYRK1A_ENSG00000157540
DYRK1B	9149	DYRK1B	DYRK1B	ENSG00000105204	3092	19	19q13.2	dual specificity tyrosine phosphorylation regulated kinase 1B	protein-coding	DYRK1B|9149_calculated	merged_DYRK1B|9149_calculated	DYRK1B_ENSG00000105204	DYRK1B_ENSG00000105204
DYRK2	8445	DYRK2	DYRK2	ENSG00000127334	3093	12	12q15	dual specificity tyrosine phosphorylation regulated kinase 2	protein-coding	DYRK2|8445_calculated	merged_DYRK2|8445_calculated	DYRK2_ENSG00000127334	DYRK2_ENSG00000127334
DYRK3	8444	DYRK3	DYRK3	ENSG00000143479	3094	1	1q32.1	dual specificity tyrosine phosphorylation regulated kinase 3	protein-coding	DYRK3|8444_calculated	merged_DYRK3|8444_calculated	DYRK3_ENSG00000143479	DYRK3_ENSG00000143479
DYRK4	8798	DYRK4	DYRK4	ENSG00000010219	3095	12	12p13.32	dual specificity tyrosine phosphorylation regulated kinase 4	protein-coding	DYRK4|8798_calculated	merged_DYRK4|8798_calculated	DYRK4_ENSG00000010219	DYRK4_ENSG00000010219
DYSF	8291	DYSF	DYSF	ENSG00000135636	3097	2	2p13.2	dysferlin	protein-coding	DYSF|8291_calculated	merged_DYSF|8291_calculated	DYSF_ENSG00000135636	DYSF_ENSG00000135636
DYTN	391475	DYTN	DYTN	ENSG00000232125	23279	2	2q33.3	dystrotelin	protein-coding	DYTN|391475_calculated	merged_DYTN|391475_calculated	DYTN_ENSG00000232125	DYTN_ENSG00000232125
DZIP1	22873	DZIP1	DZIP1	ENSG00000134874	20908	13	13q32.1	DAZ interacting zinc finger protein 1	protein-coding	DZIP1|22873_calculated	merged_DZIP1|22873_calculated	DZIP1_ENSG00000134874	DZIP1_ENSG00000134874
DZIP1L	199221	DZIP1L	DZIP1L	ENSG00000158163	26551	3	3q22.3	DAZ interacting zinc finger protein 1 like	protein-coding	DZIP1L|199221_calculated	merged_DZIP1L|199221_calculated	DZIP1L_ENSG00000158163	DZIP1L_ENSG00000158163
DZIP3	9666	DZIP3	DZIP3	ENSG00000198919	30938	3	3q13.13	DAZ interacting zinc finger protein 3	protein-coding	DZIP3|9666_calculated	merged_DZIP3|9666_calculated	DZIP3_ENSG00000198919	DZIP3_ENSG00000198919
E2F1	1869	E2F1	E2F1	ENSG00000101412	3113	20	20q11.22	E2F transcription factor 1	protein-coding	E2F1|1869_calculated	merged_E2F1|1869_calculated	E2F1_ENSG00000101412	E2F1_ENSG00000101412
E2F2	1870	E2F2	E2F2	ENSG00000007968	3114	1	1p36.12	E2F transcription factor 2	protein-coding	E2F2|1870_calculated	merged_E2F2|1870_calculated	E2F2_ENSG00000007968	E2F2_ENSG00000007968
E2F3	1871	E2F3	E2F3	ENSG00000112242	3115	6	6p22.3	E2F transcription factor 3	protein-coding	E2F3|1871_calculated	merged_E2F3|1871_calculated	E2F3_ENSG00000112242	E2F3_ENSG00000112242
E2F4	1874	E2F4	E2F4	ENSG00000205250	3118	16	16q22.1	E2F transcription factor 4	protein-coding	E2F4|1874_calculated	merged_E2F4|1874_calculated	E2F4_ENSG00000205250	E2F4_ENSG00000205250
E2F5	1875	E2F5	E2F5	ENSG00000133740	3119	8	8q21.2	E2F transcription factor 5	protein-coding	E2F5|1875_calculated	merged_E2F5|1875_calculated	E2F5_ENSG00000133740	E2F5_ENSG00000133740
E2F6	1876	E2F6	E2F6	ENSG00000169016	3120	2	2p25.1	E2F transcription factor 6	protein-coding	E2F6|1876_calculated	merged_E2F6|1876_calculated	E2F6_ENSG00000169016	E2F6_ENSG00000169016
E2F7	144455	E2F7	E2F7	ENSG00000165891	23820	12	12q21.2	E2F transcription factor 7	protein-coding	E2F7|144455_calculated	merged_E2F7|144455_calculated	E2F7_ENSG00000165891	E2F7_ENSG00000165891
E2F8	79733	E2F8	E2F8	ENSG00000129173	24727	11	11p15.1	E2F transcription factor 8	protein-coding	E2F8|79733_calculated	merged_E2F8|79733_calculated	E2F8_ENSG00000129173	E2F8_ENSG00000129173
E4F1	1877	E4F1	E4F1	ENSG00000167967	3121	16	16p13.3	E4F transcription factor 1	protein-coding	E4F1|1877_calculated	merged_E4F1|1877_calculated	E4F1_ENSG00000167967	E4F1_ENSG00000167967
EAF1	85403	EAF1	EAF1	ENSG00000144597	20907	3	3p25.1	ELL associated factor 1	protein-coding	EAF1|85403_calculated	merged_EAF1|85403_calculated	EAF1_ENSG00000144597	EAF1_ENSG00000144597
EAF2	55840	EAF2	EAF2	ENSG00000145088	23115	3	3q13.33	ELL associated factor 2	protein-coding	EAF2|55840_calculated	merged_EAF2|55840_calculated	EAF2_ENSG00000145088	EAF2_ENSG00000145088
EAPP	55837	EAPP	EAPP	ENSG00000129518	19312	14	14q13.1	E2F associated phosphoprotein	protein-coding	EAPP|55837_calculated	merged_EAPP|55837_calculated	EAPP_ENSG00000129518	EAPP_ENSG00000129518
EARS2	124454	EARS2	EARS2	ENSG00000103356	29419	16	16p12.2	"glutamyl-tRNA synthetase 2, mitochondrial"	protein-coding	EARS2|124454_calculated	merged_EARS2|124454_calculated	EARS2_ENSG00000103356	EARS2_ENSG00000103356
EBAG9	9166	EBAG9	EBAG9	ENSG00000147654	3123	8	8q23.2	estrogen receptor binding site associated antigen 9	protein-coding	EBAG9|9166_calculated	merged_EBAG9|9166_calculated	EBAG9_ENSG00000147654	EBAG9_ENSG00000147654
EBF1	1879	EBF1	EBF1	ENSG00000164330	3126	5	5q33.3	EBF transcription factor 1	protein-coding	EBF1|1879_calculated	merged_EBF1|1879_calculated	EBF1_ENSG00000164330	EBF1_ENSG00000164330
EBF2	64641	EBF2	EBF2	ENSG00000221818	19090	8	8p21.2	EBF transcription factor 2	protein-coding	EBF2|64641_calculated	merged_EBF2|64641_calculated	EBF2_ENSG00000221818	EBF2_ENSG00000221818
EBF3	253738	EBF3	EBF3	ENSG00000108001	19087	10	10q26.3	EBF transcription factor 3	protein-coding	EBF3|253738_calculated	merged_EBF3|253738_calculated	EBF3_ENSG00000108001	EBF3_ENSG00000108001
EBF4	57593	EBF4	EBF4	ENSG00000088881	29278	20	20p13	EBF family member 4	protein-coding	EBF4|57593_calculated	merged_EBF4|57593_calculated	EBF4_ENSG00000088881	EBF4_ENSG00000088881
EBI3	10148	EBI3	EBI3	ENSG00000105246	3129	19	19p13.3	Epstein-Barr virus induced 3	protein-coding	EBI3|10148_calculated	merged_EBI3|10148_calculated	EBI3_ENSG00000105246	EBI3_ENSG00000105246
EBNA1BP2	10969	EBNA1BP2	EBNA1BP2	ENSG00000117395	15531	1	1p34.2	EBNA1 binding protein 2	protein-coding	EBNA1BP2|10969_calculated	merged_EBNA1BP2|10969_calculated	EBNA1BP2_ENSG00000117395	EBNA1BP2_ENSG00000117395
EBP	10682	EBP	EBP	ENSG00000147155	3133	X	Xp11.23	EBP cholestenol delta-isomerase	protein-coding	EBP|10682_calculated	merged_EBP|10682_calculated	EBP_ENSG00000147155	EBP_ENSG00000147155
EBPL	84650	EBPL	EBPL	ENSG00000123179	18061	13	13q14.2	EBP like	protein-coding	EBPL|84650_calculated	merged_EBPL|84650_calculated	EBPL_ENSG00000123179	EBPL_ENSG00000123179
ECD	11319	ECD	ECD	ENSG00000122882	17029	10	10q22.2	ecdysoneless cell cycle regulator	protein-coding	ECD|11319_calculated	merged_ECD|11319_calculated	ECD_ENSG00000122882	ECD_ENSG00000122882
ECE1	1889	ECE1	ECE1	ENSG00000117298	3146	1	1p36.12	endothelin converting enzyme 1	protein-coding	ECE1|1889_calculated	merged_ECE1|1889_calculated	ECE1_ENSG00000117298	ECE1_ENSG00000117298
ECE2	9718	ECE2	ECE2	ENSG00000145194	13275	3	3q27.1	endothelin converting enzyme 2	protein-coding	ECE2|9718_calculated	merged_ECE2|9718_calculated	ECE2_ENSG00000145194	ECE2_ENSG00000145194
ECEL1	9427	ECEL1	ECEL1	ENSG00000171551	3147	2	2q37.1	endothelin converting enzyme like 1	protein-coding	ECEL1|9427_calculated	merged_ECEL1|9427_calculated	ECEL1_ENSG00000171551	ECEL1_ENSG00000171551
ECH1	1891	ECH1	ECH1	ENSG00000104823	3149	19	19q13.2	enoyl-CoA hydratase 1	protein-coding	ECH1|1891_calculated	merged_ECH1|1891_calculated	ECH1_ENSG00000104823	ECH1_ENSG00000104823
ECHDC1	55862	ECHDC1	ECHDC1	ENSG00000093144	21489	6	6q22.33	ethylmalonyl-CoA decarboxylase 1	protein-coding	ECHDC1|55862_calculated	merged_ECHDC1|55862_calculated	ECHDC1_ENSG00000093144	ECHDC1_ENSG00000093144
ECHDC2	55268	ECHDC2	ECHDC2	ENSG00000121310	23408	1	1p32.3	enoyl-CoA hydratase domain containing 2	protein-coding	ECHDC2|55268_calculated	merged_ECHDC2|55268_calculated	ECHDC2_ENSG00000121310	ECHDC2_ENSG00000121310
ECHDC3	79746	ECHDC3	ECHDC3	ENSG00000134463	23489	10	10p14	enoyl-CoA hydratase domain containing 3	protein-coding	ECHDC3|79746_calculated	merged_ECHDC3|79746_calculated	ECHDC3_ENSG00000134463	ECHDC3_ENSG00000134463
ECHS1	1892	ECHS1	ECHS1	ENSG00000127884	3151	10	10q26.3	"enoyl-CoA hydratase, short chain 1"	protein-coding	ECHS1|1892_calculated	merged_ECHS1|1892_calculated	ECHS1_ENSG00000127884	ECHS1_ENSG00000127884
ECM1	1893	ECM1	ECM1	ENSG00000143369	3153	1	1q21.2	extracellular matrix protein 1	protein-coding	ECM1|1893_calculated	merged_ECM1|1893_calculated	ECM1_ENSG00000143369	ECM1_ENSG00000143369
ECM2	1842	ECM2	ECM2	ENSG00000106823	3154	9	9q22.31	extracellular matrix protein 2	protein-coding	ECM2|1842_calculated	merged_ECM2|1842_calculated	ECM2_ENSG00000106823	ECM2_ENSG00000106823
ECSCR	641700	ECSCR	ECSCR	ENSG00000249751	35454	5	5q31.2	endothelial cell surface expressed chemotaxis and apoptosis regulator	protein-coding	ECSCR|641700_calculated	merged_ECSCR|641700_calculated	ECSCR_ENSG00000249751	ECSCR_ENSG00000249751
ECSIT	51295	ECSIT	ECSIT	ENSG00000130159	29548	19	19p13.2	ECSIT signalling integrator	protein-coding	ECSIT|51295_calculated	merged_ECSIT|51295_calculated	ECSIT_ENSG00000130159	ECSIT_ENSG00000130159
ECT2	1894	ECT2	ECT2	ENSG00000114346	3155	3	3q26.31	epithelial cell transforming 2	protein-coding	ECT2|1894_calculated	merged_ECT2|1894_calculated	ECT2_ENSG00000114346	ECT2_ENSG00000114346
ECT2L	345930	ECT2L	ECT2L	ENSG00000203734	21118	6	6q24.1	epithelial cell transforming 2 like	protein-coding	ECT2L|345930_calculated	merged_ECT2L|345930_calculated	ECT2L_ENSG00000203734	ECT2L_ENSG00000203734
EDA	1896	EDA	EDA	ENSG00000158813	3157	X	Xq13.1	ectodysplasin A	protein-coding	EDA|1896_calculated	merged_EDA|1896_calculated	EDA_ENSG00000158813	EDA_ENSG00000158813
EDA2R	60401	EDA2R	EDA2R	ENSG00000131080	17756	X	Xq12	ectodysplasin A2 receptor	protein-coding	EDA2R|60401_calculated	merged_EDA2R|60401_calculated	EDA2R_ENSG00000131080	EDA2R_ENSG00000131080
EDAR	10913	EDAR	EDAR	ENSG00000135960	2895	2	2q13	ectodysplasin A receptor	protein-coding	EDAR|10913_calculated	merged_EDAR|10913_calculated	EDAR_ENSG00000135960	EDAR_ENSG00000135960
EDARADD	128178	EDARADD	EDARADD	ENSG00000186197	14341	1	1q42.3-q43	EDAR associated death domain	protein-coding	EDARADD|128178_calculated	merged_EDARADD|128178_calculated	EDARADD_ENSG00000186197	EDARADD_ENSG00000186197
EDC3	80153	EDC3	EDC3	ENSG00000179151	26114	15	15q24.1	enhancer of mRNA decapping 3	protein-coding	EDC3|80153_calculated	merged_EDC3|80153_calculated	EDC3_ENSG00000179151	EDC3_ENSG00000179151
EDC4	23644	EDC4	EDC4	ENSG00000038358	17157	16	16q22.1	enhancer of mRNA decapping 4	protein-coding	EDC4|23644_calculated	merged_EDC4|23644_calculated	EDC4_ENSG00000038358	EDC4_ENSG00000038358
EDDM3A	10876	EDDM3A	EDDM3A	ENSG00000181562	16978	14	14q11.2	epididymal protein 3A	protein-coding	EDDM3A|10876_calculated	merged_EDDM3A|10876_calculated	EDDM3A_ENSG00000181562	EDDM3A_ENSG00000181562
EDDM3B	64184	EDDM3B	EDDM3B	ENSG00000181552	19223	14	14q11.2	epididymal protein 3B	protein-coding	EDDM3B|64184_calculated	merged_EDDM3B|64184_calculated	EDDM3B_ENSG00000181552	EDDM3B_ENSG00000181552
EDEM1	9695	EDEM1	EDEM1	ENSG00000134109	18967	3	3p26.1	ER degradation enhancing alpha-mannosidase like protein 1	protein-coding	EDEM1|9695_calculated	merged_EDEM1|9695_calculated	EDEM1_ENSG00000134109	EDEM1_ENSG00000134109
EDEM2	55741	EDEM2	EDEM2	ENSG00000088298	15877	20	20q11.22	ER degradation enhancing alpha-mannosidase like protein 2	protein-coding	EDEM2|55741_calculated	merged_EDEM2|55741_calculated	EDEM2_ENSG00000088298	EDEM2_ENSG00000088298
EDEM3	80267	EDEM3	EDEM3	ENSG00000116406	16787	1	1q25.3	ER degradation enhancing alpha-mannosidase like protein 3	protein-coding	EDEM3|80267_calculated	merged_EDEM3|80267_calculated	EDEM3_ENSG00000116406	EDEM3_ENSG00000116406
EDF1	8721	EDF1	EDF1	ENSG00000107223	3164	9	9q34.3	endothelial differentiation related factor 1	protein-coding	EDF1|8721_calculated	merged_EDF1|8721_calculated	EDF1_ENSG00000107223	EDF1_ENSG00000107223
EDIL3	10085	EDIL3	EDIL3	ENSG00000164176	3173	5	5q14.3	EGF like repeats and discoidin domains 3	protein-coding	EDIL3|10085_calculated	merged_EDIL3|10085_calculated	EDIL3_ENSG00000164176	EDIL3_ENSG00000164176
EDN1	1906	EDN1	EDN1	ENSG00000078401	3176	6	6p24.1	endothelin 1	protein-coding	EDN1|1906_calculated	merged_EDN1|1906_calculated	EDN1_ENSG00000078401	EDN1_ENSG00000078401
EDN2	1907	EDN2	EDN2	ENSG00000127129	3177	1	1p34.2	endothelin 2	protein-coding	EDN2|1907_calculated	merged_EDN2|1907_calculated	EDN2_ENSG00000127129	EDN2_ENSG00000127129
EDN3	1908	EDN3	EDN3	ENSG00000124205	3178	20	20q13.32	endothelin 3	protein-coding	EDN3|1908_calculated	merged_EDN3|1908_calculated	EDN3_ENSG00000124205	EDN3_ENSG00000124205
EDNRA	1909	EDNRA	EDNRA	ENSG00000151617	3179	4	4q31.22-q31.23	endothelin receptor type A	protein-coding	EDNRA|1909_calculated	merged_EDNRA|1909_calculated	EDNRA_ENSG00000151617	EDNRA_ENSG00000151617
EDNRB	1910	EDNRB	EDNRB	ENSG00000136160	3180	13	13q22.3	endothelin receptor type B	protein-coding	EDNRB|1910_calculated	merged_EDNRB|1910_calculated	EDNRB_ENSG00000136160	EDNRB_ENSG00000136160
EEA1	8411	EEA1	EEA1	ENSG00000102189	3185	12	12q22	early endosome antigen 1	protein-coding	EEA1|8411_calculated	merged_EEA1|8411_calculated	EEA1_ENSG00000102189	EEA1_ENSG00000102189
EED	8726	EED	EED	ENSG00000074266	3188	11	11q14.2	embryonic ectoderm development	protein-coding	EED|8726_calculated	merged_EED|8726_calculated	EED_ENSG00000074266	EED_ENSG00000074266
EEF1A1	1915	EEF1A1	EEF1A1	ENSG00000156508	3189	6	6q13	eukaryotic translation elongation factor 1 alpha 1	protein-coding	EEF1A1|1915_calculated	merged_EEF1A1|1915_calculated	EEF1A1_ENSG00000156508	EEF1A1_ENSG00000156508
EEF1A1P9	441032	EEF1A1P9	EEF1A1P9	ENSG00000249264	3204	4	4q24	eukaryotic translation elongation factor 1 alpha 1 pseudogene 9	pseudo	EEF1A1P9|441032_calculated	merged_EEF1A1P9|441032_calculated	EEF1A1P9_ENSG00000249264	EEF1A1P9_ENSG00000249264
EEF1A2	1917	EEF1A2	EEF1A2	ENSG00000101210	3192	20	20q13.33	eukaryotic translation elongation factor 1 alpha 2	protein-coding	EEF1A2|1917_calculated	merged_EEF1A2|1917_calculated	EEF1A2_ENSG00000101210	EEF1A2_ENSG00000101210
EEF1B2	1933	EEF1B2	EEF1B2	ENSG00000114942	3208	2	2q33.3	eukaryotic translation elongation factor 1 beta 2	protein-coding	EEF1B2|1933_calculated	merged_EEF1B2|1933_calculated	EEF1B2_ENSG00000114942	EEF1B2_ENSG00000114942
